pgpid,shelfmark,type,doc_date_original,doc_date_calendar,doc_date_standard
449,AIU VII.E.145,Legal document,1570,Seleucid,1259
463,BL OR 5535.1,Letter,19 Adar 1427,Seleucid,1116-03-05
472,T-S 20.169 + T-S 10J8.9 + BL OR 5542.6,Legal document,1337,Seleucid,1025-08-28/1026-09-14
499,Bodl. MS heb. a 2/9,Legal document,"Wednesday, 15 Kislev 1500",Seleucid,1188-12-07
502,Bodl. MS heb. a 3/24,Letter,Tevet 1548,Seleucid,1236-11-30/1236-12-28
506,Bodl. MS heb. a 3/42,Legal document,Elul 1428,Seleucid,1117-08-01/1117-08-29
516,Bodl. MS heb. b 11/3,Legal document,First decade of Ḥeshvan 1442,Seleucid,1130-10-06/1130-10-15
524,Bodl. MS heb. c 13/16,Legal document,"Thursday, 12 Sivan 4795",Anno Mundi,1035-05-22
525,Bodl. MS heb. c 13/12,Legal document,Shawwāl 425,Hijrī,1034-08-29/1034-09-07
537,Bodl. MS heb. c 28/16,Letter,Ḥeshvan 1453,Seleucid,1141
544,Bodl. MS heb. c 28/41,Legal document,"Sunday, 21 Kislev 1355",Seleucid,1043-11-26
561,Bodl. MS heb. d 65/30,Legal document,10 Nisan 4716,Anno Mundi,0956-03-24
562,Bodl. MS heb. d 65/4,Letter,15 Av 1346,Seleucid,1035-07-23
565,Bodl. MS heb. d 66/119 + T-S NS J404,Legal document,"Monday, 16 Tammuz 1540",Seleucid,1229-07-09
576,Bodl. MS heb. d 66/48 + Bodl. MS heb. d 66/47,Legal document,5 Kislev 1458,Seleucid,1146-11-11
577,Bodl. MS heb. d 66/50 + Bodl. MS heb. d 66/49,Legal document,1347,Seleucid,1035-09-06/1036-09-22
582,Bodl. MS heb. d 66/70,Legal document,"Thursday, 6 Adar 4996",Anno Mundi,1236-02-14
589,Bodl. MS heb. d 68/101,Legal document,20 Shevaṭ 1564,Seleucid,1253-01-21
591,Bodl. MS heb. d 74/41,Letter,"Sunday, 29 Tammuz 4898",Anno Mundi,1138-07-10
593,Bodl. MS heb. d 75/13,Letter,1 Sivan 1423,Seleucid,1112-05-28
595,Bodl. MS heb. d 75/24,Letter,1361,Seleucid,1049/1050
603,Bodl. MS heb. e 98/65 + Bodl. MS heb. e 98/64,List or table,4805/4806,Anno Mundi,1044-08-27/1045-09-13
613,Bodl. MS heb. f 56/59 + Bodl. MS heb. f 56/60 + Bodl. MS heb. f 56/61,List or table,Tishrei–Ṭevet 1495,Seleucid,1183/1184
637,Halper 331,Legal document,17 Tishri 1183,Seleucid,0871-10-06
658,ENA 2559.5,Letter,Ḥannuka 1548,Seleucid,1237
659,ENA 2559.3,List or table,Shevaṭ 1467,Seleucid,1155-12-26/1156-01-24
660,ENA 2560.3,Letter,22 Sivan 4974,Anno Mundi,1214-06-01
695,ENA 2805.14,Letter,"Friday, [25] Nisan [4810]",Anno Mundi,1050-04-20
703,ENA 2805.19,Letter,8 Elul (4)811,Anno Mundi,1051-08-18
727,ENA 2806.8,Letter,12 Heshvan 1424,Seleucid,1112-11-03
743,ENA 3765.5,Letter,Tevet 1363,Seleucid,1051-12
750,ENA 4007.5,Legal document,"Friday, 24 Ḥeshvan 4765",Anno Mundi,1004-11-10
753,ENA 4009.15,Letter,13 Av 1300,Seleucid,989-07-18
756,ENA 4010.1,Legal document,18 Iyyar 1386,Seleucid,1075-05-07
760,ENA 4010.28,Legal document,"Thursday, 11 Av 4783",Anno Mundi,1023-08-01
764,PER H 1 + ENA 4010.36,Legal document,7 Elul 4839,Anno Mundi,1079-08-08
768,ENA 4010.53,Legal document,8 Elul (4)836,Anno Mundi,1076-08-10
770,ENA NS 28.15 + ENA 4011.29,Legal document,Tevet 1493,Seleucid,1181-12
771,ENA 4011.35,List or table,1474,Seleucid,1162-09-11/1163-08-30
772,ENA 4011.42,Legal document,"Sunday, 12 Ḥeshvan 1461",Seleucid,1149-10-16
774,ENA 4011.60,Legal document,"Sunday, 21 Rabīʿ I 442",Hijrī,1050-08-12
783,ENA 4020.45 + ENA 4020.44,Letter,Shevat (4)791,Anno Mundi,1030-12-28/1031-01-26
785,ENA 4020.50,Legal document,[12]91,Seleucid,979/980
809,ENA NS 17.22,Legal document,10 Iyyar 4791,Anno Mundi,1031-05-05
810,ENA NS 17.23,Legal document,Heshvan 4800,Anno Mundi,1039-10-22/1039-11-20
811,ENA NS 17.28,Legal document,"Friday, 26 Kislev 1401",Seleucid,1089-12-02
815,ENA NS 18.27,Legal document,1390,Seleucid,1078/1079
847,NLI 577.3/1,Legal document,4812,Anno Mundi,1051-09-09/1052-08-28
851,NLI 577.3/3,Legal document,1 Kislev 4864,Anno Mundi,1103-11-03
852,NLI 577.3/5,Legal document,3 Shevaṭ 1444,Seleucid,1133-01-11
853,NLI 577.3/14,Legal document,1443,Seleucid,1132
854,NLI 577.4/98,Legal document,"Thursday, 12 Kislev 4784",Anno Mundi,1023-11-28
859,"Moss. I,A.2",Legal document,4811,Anno Mundi,1051-03
860,"Moss. VII,30",Legal document,Last third of Marheshvan 1460,Seleucid,1148-11
874,"Moss. V,341.1 + T-S 10J15.10",Letter,Tammuz 1350,Seleucid,1039-06-26/1039-07-24
897,"Moss. V,8",Legal document,13 Tishrei 1613,Seleucid,1301-09-16
899,p. Heid. Hebr. 10,Letter,Adar 1332,Seleucid,1021-02-17/1021-03-17
900,"MS 8254, fol. 7",Letter,Tammuz 1480,Seleucid,1169-06-27/1169-07-25
903,PER H 160,Legal document,"Tuesday, 28 Av 1349",Seleucid,1038-08-01
906,PER H 22,Legal document,first third of Av 1448,Seleucid,1137-07-21/1137-07-30
907,PER H 24,Legal document,Nisan 4843,Anno Mundi,1083-03-23/1083-04-21
908,PER H 83,Legal document,"Tuesday, 23 Kislev 4780",Anno Mundi,1019-11-24
909,PER H 89,Legal document,Tishrei 1449,Seleucid,1137-09-18/1137-10-17
911,Sassoon 1055a,Legal document,27 Tammuz 1973,Seleucid,1662-07-14
916,T-S 13J1.10,Legal document,11 Iyyar 1355,Seleucid,1044-04-11
917,T-S 13J1.11,Legal document,4805,Anno Mundi,1044/1045
918,T-S 13J1.12,Legal document,Tevet 1361,Seleucid,1049-12
919,T-S 13J1.13,Legal document,Adar 1368,Seleucid,1057-02-08/1057-03-08
920,T-S 13J1.14,Legal document,6 Heshvan 1368,Seleucid,1056-10-17
921,T-S 13J1.15,Legal document,26 Tammuz 4816,Anno Mundi,1056-07-11
922,T-S 13J1.17,Legal document,"Wednesday, 13 Ṭevet 1377",Seleucid,1065-12-14
923,T-S 13J1.18,Legal document,15 Av 1389,Seleucid,1078-07
924,T-S 13J1.19,Legal document,25 Iyyar 4841,Anno Mundi,1081-05-06
925,T-S 13J1.2,Legal document,7 Iyyar 4775,Anno Mundi,1015-04-29
926,T-S 13J1.21,Legal document,"Thursday, 2 Av 1461",Seleucid,1150-07-27
927,T-S 13J1.22,Legal document,10 Shevat 1402,Seleucid,1091-01-02
928,T-S 13J1.23,Legal document,Av 1404,Seleucid,1093-07
929,T-S 13J1.3,Legal document,"Friday, 9 Tishrei 1328",Seleucid,1016-09-14
930,T-S 13J1.6,Legal document,4 Tammuz 1335,Seleucid,1024-06-14
931,T-S 13J1.8,Legal document,13 Elul 1345,Seleucid,1034-08-30
932,T-S 13J1.9,Legal document,Nisan 1352,Seleucid,1041-04
933,T-S 13J1.16,Legal document,1 Adar 1377,Seleucid,1066-01-30
946,T-S 13J13.3,Letter,Elul 1427,Seleucid,1116-08-11/1116-09-08
958,T-S 13J14.24,Legal document,7 Tevet 1344,Seleucid,1032-12-12
980,T-S 13J17.11,Letter,6 Shawwal 421,Hijrī,1030-10-07
985,T-S 13J17.4 + T-S 10J10.9,Letter,4795,Anno Mundi,1034
996,T-S 13J2.1,Legal document,"Thursday, 23 Kislev 1401",Seleucid,1089-12
997,T-S 13J2.10,Legal document,Second third of Av 1414,Seleucid,1103-07
998,T-S 13J2.11,Legal document,Tammuz 1415,Seleucid,1104-07
999,T-S 13J2.13,Legal document,Middle Av 1417,Seleucid,1106-07
1000,T-S 13J2.14,Legal document,Middle decade of Ṭevet 1417,Seleucid,1105-12
1001,T-S 13J2.15,Legal document,"Thursday, 1 Iyyar 1418",Seleucid,1107-04-25
1002,T-S 13J2.16,Legal document,"Wednesday, 11 Elul 1423",Seleucid,1112-09-04
1003,T-S 13J2.17,Legal document,Adar 1427,Seleucid,1116-02-16/1116-03-15
1004,T-S 13J2.18,Legal document,last third of Kislev 1649,Seleucid,1337-11-15/1337-11-23
1005,T-S 13J2.19,Legal document,Last third of Nisan 1448,Seleucid,1137-04
1006,T-S 13J2.2,Legal document,26 Tammuz 1405,Seleucid,1094-07-13
1007,T-S 13J2.21,Legal document,Elul 1451,Seleucid,1140-08
1008,T-S 13J2.24,Legal document,Adar 1450,Seleucid,1139
1009,T-S 13J2.25,Legal document,Ṭevet 1451,Seleucid,1140
1010,T-S 13J2.3,Legal document,12 Kislev 1405,Seleucid,1093-12-04
1011,T-S 13J2.4,Legal document,15 Kislev 1405,Seleucid,1093-12
1014,T-S 13J2.8,Legal document,Kislev 1411,Seleucid,1099-11/1099-12
1015,T-S 13J2.8,Legal document,12th Kislev 1411,Seleucid,1099-11-28
1025,T-S 13J21.17,Letter,1 Av 1448,Seleucid,1137-07-21
1073,T-S 13J25.3,Letter,"Tuesday, 11 Tishrei [4799]",Anno Mundi,1038-09-12
1085,T-S 13J26.6,Letter,"Wednesday, 23 Tammuz 1545",Seleucid,1234-06-21
1088,T-S 8J23.13 + T-S 13J27.17,Letter,Last decade of Nisan 1448,Seleucid,1137-04-14/1137-04-23
1096,T-S 13J3.1,Legal document,Kislev 1453,Seleucid,1141-11-02/1141-11-30
1098,T-S 13J3.11,Legal document,Early Elul 1476,Seleucid,1165-08
1099,T-S 13J3.12,Legal document,9 Kislev 1477,Seleucid,1165-11-15
1100,T-S 13J3.14,Legal document,Last decade of Adar 1481,Seleucid,1170-03
1101,T-S 13J3.16,Legal document,27 Nisan 1509,Seleucid,1198-04-05
1102,T-S 13J3.17,Legal document,Late Av 1552,Seleucid,1241-08
1103,T-S 13J3.19,Legal document,First third of Shevaṭ 1518,Seleucid,1207-01
1104,T-S 13J3.2,Legal document,1453,Seleucid,1142
1105,T-S 13J3.20,Legal document,2 Sivan 1519,Seleucid,1208-05-19
1106,T-S 13J3.21,Legal document,Sivan 1521,Seleucid,1210-06
1107,T-S 13J3.22,Legal document,"Tuesday, 25 Av 4973",Anno Mundi,1213-08-13
1108,T-S 13J3.24,Legal document,1 Sivan 1525,Seleucid,1214-05
1109,T-S 13J3.25,Legal document,First decade of Iyyar 1526,Seleucid,1215-04
1110,T-S 13J3.26,Legal document,last decade of Iyyar 1528,Seleucid,1217-04-30/1217-05-08
1111,T-S 13J3.27,Legal document,Second third of Tammuz 1529,Seleucid,1218-07
1112,T-S 13J3.3,Legal document,"Wednesday, 26 Iyyar 1454",Seleucid,1143-04
1113,T-S 13J3.4,Legal document,Late Tevet 4903,Anno Mundi,1143-01
1114,T-S 13J3.5,Legal document,Marḥeshvan 1455,Seleucid,1143-10
1115,T-S 13J3.6,Legal document,First decade of Elul 1458,Seleucid,1147
1116,T-S 13J3.7,Legal document,Nisan 1459,Seleucid,1148-03-23/1148-04-21
1117,T-S 13J3.8,Legal document,Late Elul 1460,Seleucid,1149-08
1118,T-S 13J3.9,Legal document,Elul 1462,Seleucid,1151-08
1126,T-S 13J33.5,Legal document,18 Shevat 4771,Anno Mundi,1011-01-25
1139,T-S 13J4.1,Legal document,Passover 1537,Seleucid,1226-04
1140,T-S 13J4.10,Legal document,"First decade of Sivan, 1564",Seleucid,1253-04
1141,T-S 13J4.11,Legal document,23 Kislev 1564,Seleucid,1252-11-26
1142,T-S 13J4.12,Legal document,Tishrei 1581,Seleucid,1269-09
1143,T-S 13J4.13,Legal document,5 Iyyar 1603,Seleucid,1292
1144,T-S 13J4.14,Legal document,Tevet 1555,Seleucid,1214-01
1145,T-S 13J4.15.1,Legal document,Kislev 1691,Seleucid,1379-11-11/1379-12-10
1146,T-S 13J4.15.2,Legal document,Kislev 1691,Seleucid,1379-11-11/1379-12-10
1147,T-S 13J4.16,Legal document,18 Sivan 1793,Seleucid,1482-06-05
1148,T-S 13J4.2,Legal document,"Tuesday, 1 Nisan 1537",Seleucid,1226-03-31
1149,T-S 13J4.3,Legal document,"Wednesday, 1 Adar 1539",Seleucid,1228-02-09
1150,T-S 13J4.4,Legal document,Adar 1540,Seleucid,1229
1152,T-S 13J4.6,Legal document,1544,Seleucid,1233
1153,T-S 13J4.7,Legal document,Middle Tammuz 1555,Seleucid,1244-06
1154,T-S 13J4.8,Legal document,Last decade of Kislev 5004,Anno Mundi,1243-12
1155,T-S 13J4.9,Legal document,Tishrei 1556,Seleucid,1244-09-05/1244-10-04
1157,T-S 13J5.2,Legal document,4 Adar II 4845,Anno Mundi,1085-03-03
1158,T-S 13J5.3,Legal document,Late Sivan 1461,Seleucid,1150-06
1159,T-S 13J5.4,Legal document,19 Tevet 1486,Seleucid,1174-12-15
1160,T-S 13J5.5,Legal document,"Tuesday, 12 Elul 1515",Seleucid,1204-08-10
1162,T-S 13J6.11,Legal document,[157]6,Seleucid,1264/1265
1163,T-S 13J6.11,Legal document,22 Shevaṭ 1576,Seleucid,1265-02-09
1164,T-S 13J6.12,Legal document,Tammuz 1461,Seleucid,1150-06-27/1150-07-25
1176,T-S 13J6.27,Legal document,Adar 1471,Seleucid,1160-02
1177,T-S 13J6.28,Legal document,"Friday, 24 Adar 1[6]50",Seleucid,1339-03-05
1178,T-S 13J6.3,Letter,Iyyar 1487,Seleucid,1176-04
1180,T-S 13J6.31,Legal document,"Thursday, 12 Adar I 1350",Seleucid,1039-02-09
1187,ENA 2558.18 + T-S 13J7.12,Legal document,"Tuesday, 7 Adar 1505",Seleucid,1194-01-30
1190,T-S 13J7.17,Legal document,middle third of Adar II 1461,Seleucid,1150-03-11/1150-03-20
1198,T-S 13J7.25,Letter,1339,Seleucid,1028
1200,T-S 13J7.3,Legal document,[1]339,Seleucid,1027-09-04/1028-09-22
1204,T-S 13J7.9,Legal document,1546,Seleucid,1234/1235
1205,T-S 13J8.25,Legal document,Av 1552,Seleucid,1241-07-10/1241-08-08
1206,T-S 13J8.1,Legal document,24 Tishrei (1)364,Seleucid,1052-09-21
1219,T-S 13J8.25,Legal document,Av 1552,Seleucid,1241-07-10/1241-08-08
1223,T-S 13J8.3,Legal document,"Wednesday, 9 Tammuz 4912 AM",Anno Mundi,1152-06-13
1225,T-S 13J8.31,Legal document,24 Sivan (4)802,Anno Mundi,1042-06-15
1227,T-S 13J8.6,Legal document,20 Iyyar 4846,Anno Mundi,1086-05-07
1236,T-S 13J9.4,Letter,Marḥeshvan 4818,Anno Mundi,1056-10
1237,T-S 13J9.5,Legal document,"Thursday, 9 Tammuz 4807",Anno Mundi,1047-07-06
1239,T-S 13J9.7,Legal query or responsum,Ḥeshvan 1478,Seleucid,1166
1241,T-S 13J9.9,Letter,22 Kislev 1524,Seleucid,1212-11-18
1264,T-S Ar.5.1,Legal document,13 Muḥarram 424,Hijrī,1032-12-19
1266,T-S Ar.51.144,List or table,Muḥarram 598,Hijrī,1201-10-01/1201-10-30
1268,T-S Ar.52.248,Letter,Ṭevet 1476,Seleucid,1165-01
1272,T-S Ar.53.51,Letter,Sha'ban 429,Hijrī,1038-05-09/1038-06-06
1275,T-S Ar.54.61,List or table,Sivan 1529,Seleucid,1219-05-17/1219-06-15
1276,T-S Ar.54.66,Letter,4935,Anno Mundi,1174-08-29/1175-09-17
1284,T-S AS 145.1,Legal document,"Tuesday, 11 Iyyar 41502",Seleucid,1191-05-07
1289,T-S AS 146.66,Legal document,6 Nisan 4693,Anno Mundi,0933-04-04
1329,T-S K15.13,List or table,Heshvan-Kislev 1495,Seleucid,1183-10-19/1183-12-17
1339,JRL Gaster heb. ms 1636/14 + T-S K21.98,List or table,426–30,Hijrī,1034-11-16/1039-09-22
1346,T-S 10J11.26 + T-S K25.227 + T-S Ar.44.223 + T-S Ar.18(1).181,List or table,430,Hijrī,1039
1350,T-S K3.11,List or table,1494,Seleucid,1183
1354,T-S K6.44,List or table,Sivan 1558,Seleucid,1247-05-07/1247-06-05
1368,T-S Misc.24.137.4,Letter,First third of Shevaṭ 1471,Seleucid,1160
1377,T-S Misc.27.4.26,Legal document,"Wednesday night, 28 Sivan 1581",Seleucid,1270
1378,T-S Misc.27.4.29 + T-S Misc.27.4.23,Legal document,"Monday, 2[7] Kislev 1405",Seleucid,1093-12-19
1385,T-S Misc.28.71,Legal document,"Thursday, 6 Iyyar 1803",Seleucid,1492-05-03
1387,T-S 16.377,Legal document,21 Av 1564,Seleucid,1253-07-18
1391,T-S Misc.35.40,Letter,Av 1351,Seleucid,1040-07-14/1040-08-12
1399,T-S Misc.8.3,List or table,18 Elul 1809,Seleucid,1498-09-05
1410,T-S NS J17,Paraliterary text,1 Av 4827,Anno Mundi,1067-07-16
1412,T-S NS J18,Legal document,Shevaṭ 1416,Seleucid,1105-01-18/1105-02-16
1414,T-S NS J2,Legal document,Adar 1555,Seleucid,1244-02-12/1244-03-11
1415,T-S NS J201,Legal document,1 Elul 1645,Seleucid,1334-08-03
1418,T-S NS J254,List or table,Last decade of Ṭevet 1587,Seleucid,1276-01-08/1276-01-17
1421,T-S NS J268,Legal document,3 Av [15]42,Seleucid,1231-07-04
1427,T-S Misc.28.51 + T-S NS J296,List or table,Av 1470,Seleucid,1159-07
1434,T-S NS J382 + T-S 12.177 + T-S NS J338,Legal document,25 Shevaṭ 15[07],Seleucid,1196
1453,T-S NS 264.7,Legal document,"Monday, 13 Ḥeshvan 1686",Seleucid,1374-10-19
1459,T-S NS 313.4,Legal document,4854,Anno Mundi,1093-09-24/1094-09-13
1461,T-S NS 320.108,Legal document,4693,Anno Mundi,0932-09-03/0933-09-22
1466,T-S NS 320.27,Credit instrument or private receipt,1477,Seleucid,1165/1166
1469,T-S NS 320.48,List or table,Nisan 1558,Seleucid,1247
1474,T-S NS 321.4,Legal document,4772,Anno Mundi,1011-09-01/1012-09-19
1480,T-S NS 320.76b + T-S 12.535 + T-S NS 320.76a + T-S NS 323.35,Legal document,10 Elul 1403,Seleucid,1006
1481,T-S NS 324.26,Legal document,"Monday, 27 Kislev 1560",Seleucid,1248-12-14
1529,T-S 10J2.3,Legal document,Adar 4786,Anno Mundi,1026-01-22/1026-02-20
1539,T-S 10J26.1 + Bodl. MS heb. d 66/4,Legal document,7 Elul 4825,Anno Mundi,1065-08-11
1540,T-S 10J26.8,Legal document,"Monday, 9 Sivan 4839",Anno Mundi,1079-05-13
1619,T-S 12.154,Legal document,"Thursday, 16 Av 4705",Anno Mundi,0945-07-29
1630,T-S 12.218,Letter,6 Shawwal 401,Hijrī,1011-05-13
1634,T-S 12.23,List or table,428,Hijrī,1036-10-25/1037-10-13
1647,T-S 12.299,Letter,25 Tishrei 4973,Anno Mundi,1212-09-23
1668,T-S 12.451,Legal document,Elul 4794,Anno Mundi,1034-08-18/1034-09-15
1677,T-S 12.507,Legal document,"Monday, 14 Tammuz 4826",Anno Mundi,1066-07-10
1679,T-S 12.543,Letter,Av 1576,Seleucid,1265
1680,T-S 12.548,Legal document,1393,Seleucid,1081/1082
1681,T-S 12.573,Legal document,Ḥeshvan 5139,Anno Mundi,1378-10-23/1378-11-20
1682,T-S 12.575,Letter,19 Adar 1538,Seleucid,1227-03-16
1705,T-S 16.122,Legal document,Marḥeshvan 4907,Anno Mundi,1146-10
1706,T-S 16.123,Legal document,22 Tevet 4812,Anno Mundi,1051-12-29
1738,T-S 16.355,Legal document,8 Adar 1572,Seleucid,1261-02-09
1739,T-S 16.374,Legal document,"Friday, 4 Nisan 4782",Anno Mundi,1022-03-09
1742,T-S 16.53,Legal document,"Monday, 3 Nisan 4841",Anno Mundi,1081-03-15
1744,T-S 16.63,Legal document,Adar 1461,Seleucid,1150-01-30/1150-02-28
1750,T-S 18J1.3,Legal document,11th Tammuz 4767,Anno Mundi,1007
1751,T-S 18J1.7,Legal document,"Monday, 27th Ṭevet 4797",Anno Mundi,1037-01-23
1763,T-S 18J4.20,Letter,Sivan 1508,Seleucid,1197-05-20/1197-06-18
1774,T-S 20.110,Legal document,Elul 4846,Anno Mundi,1086-08-14/1086-09-11
1780,T-S 20.141,Letter,Iyyar 1405,Seleucid,1094-04-20/1094-05-18
1783,T-S 20.152,Legal document,17th Tevet 1370,Seleucid,1059-01-05
1793,T-S 20.3,Legal document,last third of Adar 1428,Seleucid,1117-02-25/1117-03-05
1798,T-S 20.87,Legal document,Middle of Tammuz 1445,Seleucid,1134-07
1802,T-S 24.35,Legal document,[47]40,Anno Mundi,0979-09-25/0980-09-12
1803,T-S 24.41,Letter,Adar 1525,Seleucid,1214-02-12/1214-03-12
1814,T-S 6J1.32,Legal document,"Thursday, 28 Tammuz 1571",Seleucid,1260-07-08
1815,T-S 6J2.1,Legal document,20 Sivan 4964,Anno Mundi,1204-05-28
1818,T-S 6J3.26,Legal document,4971,Anno Mundi,1210/1211
1828,T-S 8.129,Legal document,18 Kislev [48]41,Anno Mundi,1080-12-02
1831,T-S 8.143,Legal document,"Wednesday, 4 Elul 1561",Seleucid,1250-08-03
1832,T-S 8.161,Legal document,First decade of Iyyar 1540,Seleucid,1229-04-26/1229-05-05
1833,T-S 8.180,Legal document,"Monday, 9 Ṭevet 1562",Seleucid,1250-12
1834,T-S 8.195 + T-S Ar.50.43,Legal document,"Monday, 16 Sivan 1769",Seleucid,1458
1836,T-S 8.234,Paraliterary text,4821,Anno Mundi,1060-08-29/1061-09-16
1851,T-S 8J10.18,Legal document,1 Tishrei 1446,Seleucid,1134-09-20
1864,T-S 8J11.14,Legal document,"Last third of Tishrei, 15??",Seleucid,1210/1220
1867,T-S 6J2.2 + T-S 8J11.17,Legal document,16 Elul 1355,Seleucid,1044-08-13
1868,T-S 8J11.18,Legal document,4826,Anno Mundi,1065-09-03/1066-09-22
1872,T-S 8J11.4,List or table,1494,Seleucid,1182-08-31/1183-09-18
1881,T-S 8J12.1,Legal document,"Wednesday, 18 Sivan 1421",Seleucid,1110-06-08
1882,T-S 8J12.2,Legal document,1488,Seleucid,1176
1883,T-S 8J12.3,Legal document,"Tuesday, 2 Shevaṭ 1492",Seleucid,1181-01-20
1992,T-S 8J17.28,Letter,7 Ḥeshvan 1551,Seleucid,1239-10-07
2001,T-S 8J17.6,Letter,4996,Anno Mundi,1235-09-15/1236-09-01
2045,T-S 8J19.30,Legal document,first decade of Ṭevet 1504,Seleucid,1192-12-08/1192-12-17
2053,T-S 8J20.11,Letter,Elul 4932,Anno Mundi,1172-08-23/1172-09-20
2060,T-S 8J20.2,Letter,26 Ḥeshvan [4817],Anno Mundi,1056-11-06
2093,T-S 8J4.10,Legal document,12 Tammuz 1402,Seleucid,1091
2094,T-S 8J4.11 + T-S NS J6 + T-S 8J4.12,Legal document,27 Adar 1403,Seleucid,1092-03-08
2097,T-S 8J4.14,Legal document,28th Elul 1409,Seleucid,1098-08-28
2099,T-S 8J4.14,Legal document,7th Kislev 1410,Seleucid,1098-11-04
2100,T-S 8J4.15,Legal document,"Monday, 18 Av 1490",Seleucid,1098-07-19
2101,T-S 8J4.15,Legal document,"Thursday, 21 Av 1490",Seleucid,1098-07-22
2102,T-S 8J4.16,Legal document,24th Shevat 1411,Seleucid,1100-02-06
2103,T-S 8J4.1,Legal document,1339,Seleucid,1027-09-04/1028-09-22
2104,T-S 8J4.16,Legal document,Nisan 1411,Seleucid,1100-03
2105,T-S 8J4.17,Legal document,2nd Shevat 1412,Seleucid,1101-01-03
2106,T-S 8J4.18,Legal document,Tishrei 4863,Anno Mundi,1102-09-15/1102-10-14
2107,T-S 8J4.19 + T-S 12.528,Legal document,"Monday, 23 Ṭevet 4864",Anno Mundi,1103-12-24
2108,T-S 8J4.1,Legal document,1339,Seleucid,1027/1028
2110,T-S Ar.50.57 + T-S 8J4.20,Legal document,last decade of Kislev 1419,Seleucid,1107-12-08/1107-12-17
2111,T-S 8J4.21,Legal document,"Thursday, 27 Av 1419",Seleucid,1108-08-06
2113,T-S 8J4.22,Legal document,7 Heshvan 1420,Seleucid,1108-10-14
2114,T-S 8J4.23,Legal document,end of Tammuz 1421,Seleucid,1110-06-21/1110-07-19
2117,T-S 8J4.23,Legal document,"Thursday, 21 Elul 1421",Seleucid,1110-09-08
2118,T-S 8J4.24 + T-S 8J7.8,Legal document,"Tuesday, 20 Shevaṭ 1422",Seleucid,1111-01-31
2122,T-S 8J4.3.1,Legal document,"Monday, 6 Adar I 1339",Seleucid,1028
2123,T-S 8J4.4,Legal document,8 Tishri 1369,Seleucid,1057-09-09
2126,T-S 13J8.12 + T-S 8J4.7,Legal document,2 Adar 1395,Seleucid,1084-02
2127,T-S 8J4.8 + T-S 10J5.25,Legal document,1387,Seleucid,1076
2129,T-S 8J4.9,Legal document,First ten days of Tammuz 1410,Seleucid,1099-06
2130,T-S 8J4.9,Legal document,7th Av 1410,Seleucid,1099-07-28
2131,T-S 8J4.9,Legal document,Tammuz 1410,Seleucid,1099-06
2134,T-S 8J5.12,Legal document,Last day of Shevaṭ 1447,Seleucid,1136-04-02
2136,T-S 8J5.15 + CUL Or.1080 J288,Legal document,First third of Shevaṭ 1463,Seleucid,1152-01
2137,T-S 8J5.17,Legal document,"Monday, 21 Sivan 1467",Seleucid,1156
2139,T-S 8J5.18,Legal document,"Tuesday, 19 Elul 1468",Seleucid,1157-08-27
2142,T-S 8J5.1,Legal document,Elul 7th 1425,Seleucid,1114-08-11
2146,T-S 8J5.20 + T-S 8J5.19,Legal document,Nisan 4918,Anno Mundi,1158-03-02/1158-03-31
2147,T-S 8J5.21,Legal document,"Tuesday, 24 Sivan 1471",Seleucid,1160-05-31
2148,T-S 8J5.22,Legal document,"Wednesday, 9 Kislev 1473",Seleucid,1161-11-29
2150,T-S 8J5.23,Legal document,Av 1480,Seleucid,1169
2151,T-S 8J5.24,Legal document,Ḥeshvan 1484,Seleucid,1172-10-21/1172-11-18
2152,T-S 8J5.25,Legal document,"Sunday, 1 Sivan 1572",Seleucid,1261-05-01
2153,T-S NS 259.37 + T-S 8J5.3,Legal document,6 Iyyar 1435,Seleucid,1124-04-22
2154,T-S 8J5.4,Legal document,"Tuesday, 2 Av 1438",Seleucid,1127-07-12
2155,T-S 8J5.5,Legal document,Adar 1416,Seleucid,1105-02
2156,T-S 8J5.8,Legal document,Jumada II 534,Hijrī,1140-01-23/1140-02-20
2157,T-S 8J5.9,Legal document,Tammuz 1441,Seleucid,1130
2158,T-S 8J6.2,Legal document,1525,Seleucid,1213-09-17/1214-09-05
2160,T-S 8J6.10,Legal document,End of Av 1549,Seleucid,1238
2161,T-S 8J6.11,Legal document,Last decade of Elul 1553,Seleucid,1242
2162,T-S 8J6.12,Legal document,Shevaṭ 1527,Seleucid,1215-12-24/1216-01-22
2163,T-S 8J6.13,Legal document,first third of Tammuz 500[.],Anno Mundi,1244/1249
2164,T-S 8J6.14,Legal document,"Wednesday, 26 Iyyar 1552",Seleucid,1241-05-08
2165,T-S 8J6.14,Legal document,Middle decade of Sivan 1552,Seleucid,1241-05-22/1241-05-31
2166,T-S 8J6.15,Legal document,"Sunday, 5 Ṭevet 1554",Seleucid,1242-11-30
2167,T-S 8J6.16,Legal document,13 Tishrei 1564,Seleucid,1252-09-17
2168,T-S 8J6.16,Legal document,1564,Seleucid,1252/1253
2170,T-S 8J6.17,Legal document,First third of Ṭevet 1593,Seleucid,1281-12-14/1281-12-23
2174,T-S 8J6.19,Legal document,"Wednesday, 17 Tishrei 1807",Seleucid,1495-10-05
2175,T-S 8J6.1,Legal document,End of Sivan 152[.],Seleucid,1209/1218
